ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Abalone,14.7,1.84,0.38,0.85,0.0,0.0,3.4,0.35,44.6,26.7,0.19,8.95
Abiyuch,6.9,0.15,0.01,1.76,0.53,0.86,0.8,0.16,2.0,30.4,5.41,0.0
Acerola,3.2,0.04,0.03,0.77,0.11,0.0,1.2,0.02,0.7,14.6,167.76,0.0
Acerola Juice,2.3,0.04,0.03,0.48,0.03,0.45,1.0,0.05,0.3,9.7,160.0,0.0
Acorn Flour,50.1,0.75,3.02,5.46,0.0,0.0,4.3,0.12,0.0,71.2,0.0,0.0
Acorns,44.8,0.71,2.76,4.72,0.0,0.0,4.75,0.09,0.0,62.4,0.0,0.0
Agave,18.13,0.11,0.04,4.34,1.09,2.47,54.9,0.3,1.37,31.77,0.15,0.0
Agutuk,36.03,1.14,3.13,0.83,0.02,0.0,0.8,0.17,4.67,16.8,0.17,4.17
Alcoholic Beverage,13.22,0.02,0.04,0.68,0.0,0.34,0.28,0.01,1.88,2.1,0.05,0.09
Alfalfa Seeds,2.3,0.4,0.07,0.21,0.19,0.02,3.2,0.1,0.6,7.9,0.82,0.0
Allspice,26.3,0.61,0.87,7.21,2.16,0.0,66.1,0.71,7.7,104.4,3.92,0.0
Almond Butter,63.3,1.51,5.91,2.12,0.37,0.25,27.0,0.37,23.05,75.8,0.07,0.0
Almonds,59.72,2.11,5.28,2.03,1.14,0.4,26.55,0.38,13.97,68.95,0.01,0.0
Amaranth,37.1,1.36,0.7,6.52,0.67,0.17,15.9,0.76,0.4,50.8,0.42,0.0
Amaranth Grain,10.2,0.38,0.16,1.87,0.21,0.0,4.7,0.21,0.6,13.5,0.0,0.0
Amaranth Leaves,2.17,0.22,0.02,0.41,0.0,0.0,21.1,0.23,9.93,63.1,4.18,0.0
Anchovy,17.05,2.46,0.73,0.0,0.0,0.0,18.95,0.39,188.6,46.35,0.0,7.25
Animal Fat,89.6,0.0,9.95,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,9.5
Apple Cider-Flavored Drk,19.8,0.0,0.0,4.96,0.01,4.05,23.8,0.0,5.45,0.35,19.4,0.0
Apple Juc,8.63,0.02,0.02,2.13,0.02,1.8,1.13,0.04,1.2,22.5,2.6,0.0
Apples,9.55,0.04,0.03,2.52,0.34,1.73,0.62,0.05,2.24,16.14,0.14,0.0
Applesauce,5.7,0.02,0.01,1.5,0.12,0.84,0.38,0.02,0.85,7.1,0.64,0.0
Apricot Nectar,5.6,0.04,0.01,1.44,0.06,0.69,0.7,0.04,0.3,11.4,2.75,0.0
Apricots,9.91,0.13,0.02,2.55,0.21,0.94,1.76,0.12,0.6,40.09,0.42,0.0
Archway Home Style Cookies,41.97,0.57,1.54,6.7,0.22,2.9,2.62,0.23,37.42,15.98,0.0,0.98
Arrowhead,8.5,0.48,0.02,1.75,0.0,0.0,0.8,0.17,9.8,89.47,0.06,0.0
Arrowroot,6.5,0.42,0.02,1.34,0.13,0.0,0.6,0.22,2.6,45.4,0.19,0.0
Artichokes,4.68,0.3,0.04,1.01,0.6,0.08,2.45,0.07,10.05,28.63,0.7,0.0
Artificial Blueberry Muffin Mix,40.7,0.47,0.87,7.74,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0
Arugula,2.5,0.26,0.07,0.36,0.16,0.2,16.0,0.15,2.7,36.9,1.5,0.0
Asparagus,1.92,0.24,0.03,0.3,0.16,0.08,1.97,0.1,12.27,19.59,1.7,0.0
Avocados,14.9,0.21,1.34,0.83,0.64,0.11,1.17,0.04,0.57,44.77,1.21,0.0
Babyfood,9.83,0.32,0.2,1.73,0.13,0.54,7.29,0.4,5.72,15.1,1.33,0.72
Bacon,31.0,1.07,2.95,0.63,0.26,0.0,2.3,0.24,146.5,17.0,0.0,0.0
Bacon Bits,47.6,3.2,2.59,2.86,1.02,0.0,10.1,0.07,177.0,14.5,0.19,0.0
Bagel,25.7,1.0,0.16,5.05,0.22,0.51,8.9,0.6,44.8,7.5,0.1,0.0
Bagels,27.66,1.05,0.17,5.48,0.25,0.25,3.41,0.32,47.02,11.02,0.03,0.3
Baked Bns,10.5,0.48,0.04,2.05,0.55,0.78,5.0,0.03,0.1,29.6,0.31,0.0
Baking Choc,48.36,0.76,3.3,5.51,0.96,3.72,6.78,0.56,2.18,47.86,0.01,0.36
Balsam-Pear (Bitter Gourd),2.52,0.25,0.03,0.47,0.18,0.1,3.42,0.09,8.77,45.77,5.82,0.0
Bamboo Shoots,1.72,0.18,0.03,0.3,0.14,0.12,1.12,0.03,6.38,41.98,0.13,0.0
Bananas,21.75,0.25,0.11,5.56,0.62,2.98,1.35,0.07,0.2,92.45,0.78,0.0
Banquet Chick Pot Pie,19.2,0.56,1.08,1.8,0.17,0.28,1.5,0.05,42.5,0.0,0.0,1.5
Banquet Gry & Salury Stk W/ Mshd Pot & Corn In Seasonsau,12.6,0.56,0.71,0.99,0.15,0.09,2.1,0.05,38.5,0.0,0.0,1.1
Banquet Hearty One Stk Din,13.8,0.51,0.87,0.99,0.21,0.13,1.8,0.07,50.5,0.0,0.0,1.4
Banquet Orig Fried Chk Thigh,17.0,0.96,0.87,1.34,0.18,0.03,5.9,0.07,26.5,0.0,0.12,3.0
Banquet Slced Bf W/Gry,8.8,0.88,0.3,0.65,0.16,0.14,1.7,0.1,31.6,0.0,0.26,1.9
Banquet Tky & Gry W/Dress,9.9,0.59,0.35,1.09,0.31,0.19,2.2,0.07,40.1,0.0,0.28,1.4
Barbecue Loaf,17.3,1.58,0.89,0.64,0.0,0.0,5.5,0.12,133.4,32.9,0.0,3.7
Barley,27.63,0.82,0.13,5.98,1.22,0.06,2.43,0.25,0.8,27.5,0.0,0.0
Basil,2.3,0.32,0.06,0.26,0.16,0.03,17.7,0.32,0.4,29.5,1.8,0.0
Bass,12.02,2.09,0.34,0.0,0.0,0.0,5.42,0.13,7.92,34.9,0.1,8.45
Beans,12.96,0.81,0.07,2.38,0.72,0.08,5.89,0.25,13.85,46.9,0.43,0.05
Bear,14.25,2.28,0.57,0.0,0.0,0.0,0.85,0.66,0.0,2.0,0.1,0.0
Beechnuts,57.6,0.62,5.0,3.35,0.0,0.0,0.1,0.25,3.8,101.7,1.55,0.0
Beef,22.52,2.48,1.32,0.01,0.0,0.0,1.43,0.25,9.45,30.7,0.08,9.73
Beef Broth&Tomato Juc,3.7,0.06,0.01,0.85,0.01,0.0,1.1,0.06,13.1,9.6,0.09,0.0
Beef Jerky,41.0,3.32,2.56,1.1,0.18,0.9,2.0,0.54,221.3,59.7,0.0,4.8
